sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
+	2^-59	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-58	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-58	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-57	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-57	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-56	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-56	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-55	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-55	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-54	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-54	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-53	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-53	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-52	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-52	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-51	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-51	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-50	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-50	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-49	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-49	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-48	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-48	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-47	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-47	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-46	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-46	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-45	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-45	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-44	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-44	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-43	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-43	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-42	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-42	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-41	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-41	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-40	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-40	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-39	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-39	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-38	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-38	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-37	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-37	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-36	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-36	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-35	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-35	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-34	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-34	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-33	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-33	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-32	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-32	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-31	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-31	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-30	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-30	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-29	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-29	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-28	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-28	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-27	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-27	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-26	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-26	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-25	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-25	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-24	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-24	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-23	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-23	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-22	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-22	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-21	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-21	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-20	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-20	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-19	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-19	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-18	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-18	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-17	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-17	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-16	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-16	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-15	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-15	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-14	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-14	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-13	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-13	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-12	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-12	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-11	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-11	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-10	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-10	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-9	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-9	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-8	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-8	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-7	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-7	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-6	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-6	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-5	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-5	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-4	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-4	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-3	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-3	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-2	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-2	8388608	2369	4181456	4204783	4989	4996	4996
-	2^-1	8388608	2369	4204783	4181456	4996	4989	4996
+	2^-1	8388608	2369	4181456	4204783	4989	4996	4996
-	2^0	8388608	2369	4204783	4181456	4996	4989	4996
+	2^0	8388608	2369	4181456	4204783	4989	4996	4996
-	2^1	8388608	2369	4204783	4181456	4996	4989	4996
+	2^1	8388608	2369	4181456	4204783	4989	4996	4996
-	2^2	8388608	2369	4204783	4181456	4996	4989	4996
+	2^2	8388608	2369	4181456	4204783	4989	4996	4996
-	2^3	8388608	2369	4204783	4181456	4996	4989	4996
+	2^3	8388608	2369	4181456	4204783	4989	4996	4996
-	2^4	8388608	2369	4204783	4181456	4996	4989	4996
+	2^4	8388608	2369	4181456	4204783	4989	4996	4996
-	2^5	8388608	2369	4204783	4181456	4996	4989	4996
+	2^5	8388608	2369	4181456	4204783	4989	4996	4996
-	2^6	8388608	2369	4204783	4181456	4996	4989	4996
+	2^6	8388608	2369	4181456	4204783	4989	4996	4996
-	2^7	8388608	2369	4204783	4181456	4996	4989	4996
+	2^7	8388608	2369	4181456	4204783	4989	4996	4996
-	2^8	8388608	2369	4204783	4181456	4996	4989	4996
+	2^8	8388608	2369	4181456	4204783	4989	4996	4996
