sign	exp	total	exact	less	greater	maxLess	maxGreater	maxAbs
-	2^-33	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-33	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-32	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-32	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-31	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-31	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-30	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-30	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-29	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-29	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-28	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-28	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-27	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-27	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-26	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-26	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-25	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-25	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-24	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-24	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-23	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-23	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-22	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-22	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-21	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-21	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-20	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-20	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-19	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-19	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-18	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-18	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-17	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-17	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-16	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-16	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-15	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-15	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-14	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-14	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-13	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-13	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-12	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-12	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-11	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-11	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-10	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-10	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-9	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-9	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-8	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-8	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-7	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-7	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-6	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-6	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-5	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-5	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-4	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-4	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-3	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-3	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-2	8388608	2930	5187029	3198649	4762	4421	4762
+	2^-2	8388608	2930	3198649	5187029	4421	4762	4762
-	2^-1	8388608	2930	5187029	3198649	4762	4421	4762
